objectId,clusterId,area,perimeter,compactness,meanB1,stdB1,meanB2,stdB2,meanB3,stdB3,meanB4,stdB4,meanB5,stdB5,meanB6,stdB6
1,1,117,47.0711,18.9375,0.0861552,0.00171857,0.0972257,0.00144086,0.0815051,0.00195437,0.0737717,0.00237094,0.392626,0.0194372,0.61036,0.015428
2,1,179,64.4853,23.231,0.0764026,0.00362943,0.0850755,0.00501575,0.070409,0.00451791,0.0700146,0.00225527,0.384577,0.0249321,0.558886,0.0442133
3,1,98,47.0711,22.609,0.0699537,0.00481525,0.0723484,0.00962839,0.0634662,0.00494486,0.0633741,0.00425397,0.395158,0.012065,0.542609,0.0372017
4,1,2734,392.693,56.4039,0.0658618,0.00273648,0.0645565,0.00262445,0.0620166,0.00248904,0.0613329,0.00244243,0.345788,0.0360697,0.547154,0.0309506
5,1,145,68.4853,32.3464,0.0668765,0.00204215,0.0657135,0.00238359,0.0623214,0.0022386,0.0631918,0.00290809,0.384016,0.0177427,0.540913,0.024014
6,1,10560,892.919,75.5023,0.0705739,0.0048406,0.0692064,0.00492615,0.0668216,0.00463009,0.0666204,0.00500974,0.303536,0.0384155,0.607107,0.0416182
7,1,305,120.728,47.7876,0.0615886,0.00310624,0.0609434,0.00343792,0.0569961,0.00342157,0.0593545,0.00305476,0.355153,0.0413151,0.569074,0.0172105
8,1,291,112.728,43.6687,0.0644884,0.00217813,0.0637751,0.00318504,0.0596207,0.00294935,0.0620421,0.00286525,0.316165,0.0371652,0.553172,0.0184044
9,1,6205,586.049,55.351,0.0641836,0.00298178,0.0622913,0.00303174,0.0611296,0.003217,0.0595188,0.00260255,0.325195,0.0416904,0.660459,0.051075
10,1,75,30.8284,12.6719,0.061515,0.00133911,0.0609268,0.000934746,0.0579708,0.000901907,0.0595499,0.000831825,0.266092,0.0110491,0.581441,0.00347051
11,1,1396,211.841,32.1465,0.0667115,0.00215814,0.0652919,0.00217974,0.0635189,0.00248719,0.063725,0.00213708,0.317077,0.0336777,0.668275,0.0471783
12,1,180,94.8284,49.9579,0.0679571,0.00719483,0.0654626,0.00843525,0.0644747,0.00822166,0.0631573,0.00882307,0.357843,0.0409087,0.593844,0.041936
13,1,1391,328.083,77.3822,0.0695415,0.00599308,0.0669688,0.00613288,0.0622132,0.00565536,0.0652146,0.00603638,0.306367,0.034092,0.661293,0.0304249
14,1,126,56.4853,25.3221,0.0667818,0.00144701,0.0645768,0.00129073,0.0623277,0.00213458,0.0612887,0.00143795,0.353782,0.0475634,0.596203,0.0466915
15,1,115,61.6569,33.0571,0.0759988,0.0174453,0.0738563,0.0177275,0.063291,0.0127673,0.0692323,0.0153159,0.355874,0.047271,0.615276,0.0153894
16,1,117,63.3137,34.2618,0.0665981,0.00169385,0.0659029,0.00222952,0.0621452,0.002194,0.0642768,0.00191414,0.360985,0.0225297,0.639524,0.0146314
17,1,170,61.0711,21.9393,0.0801146,0.00230105,0.0768852,0.00364645,0.0697037,0.00325861,0.0751391,0.00349284,0.303437,0.0233827,0.683466,0.00706801
18,1,3010,641.865,136.874,0.0641267,0.00118462,0.0690841,0.00132563,0.0596144,0.00109195,0.0669603,0.00118504,0.366793,0.0316573,0.578854,0.0229939
19,1,107,56.8284,30.182,0.0647987,0.000857525,0.0698063,0.000893958,0.0603381,0.00113553,0.0675032,0.000974438,0.385377,0.0207826,0.635135,0.0100346
20,1,85,36.2426,15.4533,0.0646042,0.00106521,0.0698777,0.00114172,0.059683,0.00109245,0.0674485,0.00138936,0.376701,0.0237312,0.625676,0.0174109
21,1,269,88.3848,29.0404,0.0646003,0.000954445,0.0699063,0.00094906,0.0600383,0.00099989,0.0674967,0.000974363,0.379794,0.0255703,0.560936,0.0182892
22,1,127,44.4853,15.5822,0.0645142,0.000937115,0.0695133,0.000996982,0.0598891,0.000953413,0.0671232,0.000923652,0.371005,0.0187728,0.585071,0.005583
23,1,208,108.243,56.3292,0.0671525,0.00202996,0.0733539,0.00260308,0.0617661,0.00164929,0.0685889,0.0020415,0.382579,0.0195914,0.644101,0.0293317
24,1,121,44.4853,16.3549,0.0687998,0.00122345,0.0754521,0.00111143,0.0625537,0.0012886,0.0690053,0.00120625,0.380392,0.0169031,0.594874,0.00552122
